program_id,fact_type,value,evidence_url
758,application,申請方法は「電子申請」「窓口(高齢者支援課へ持参)」「郵送」の3通り。申請先は町田市いきいき生活部高齢者支援課(高齢者相談・支援担当)。主な必要書類は「町田市高齢者補聴器購入助成金交付申請書」で、購入後に領収書の写し・振込先通帳の写し等を提出する。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/hocyouki.html
814,condition,助成対象は義務教育就学中の児童で、15歳に達する日以後最初の3月31日までが対象。2021年4月1日からマル子医療証の所得制限は撤廃されている。,https://kosodate-machida.tokyo.jp/soshiki/4/1/2/487.html
815,application,申請は原則オンライン申請。賃貸にお住まいの方は、申請時に家賃の支払いをしていることが分かる書類の写真を用意する必要がある。,https://kosodate-machida.tokyo.jp/soshiki/5/3/257.html
815,condition,対象は町田市立小・中学校に在籍する児童生徒の保護者、または町田市内在住で市立以外の小・中学校に在籍する児童生徒の保護者。認定は生活保護基準に基づき、生活保護基準の1.1倍未満の世帯が対象となる。,https://kosodate-machida.tokyo.jp/soshiki/5/3/257.html
1356,application,申請方法は電子申請、または来庁・郵送。申請先は町田市高齢者支援課(高齢者相談・支援担当)。主な必要書類は在宅高齢者紙おむつ支給事業利用申請書(第1号様式)等。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/zaitaku/kamiomutushikyu.html
1356,condition,対象は65歳以上で市内在住の在宅生活者、介護保険の要介護度4または5の認定者、かつ市民税非課税世帯であること。生活保護・中国残留邦人等支援給付を受給していない方が対象。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/zaitaku/kamiomutushikyu.html
1357,application,申請書の提出先はいきいき生活部いきいき総務課。主な必要書類として本人名義の通帳やキャッシュカードが必要で、その他の必要書類は販売店に確認する。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/koureisumaho.html
1357,condition,対象は申請時点で町田市に住民票があり、2027年3月31日時点で満65歳以上の方。初めてスマートフォンを購入する方で、指定店舗での購入・通信契約やスマートフォン教室の受講等が要件。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/koureisumaho.html
1358,condition,対象は1926年4月1日以前生まれの高齢者、または一定時期に重度・中度障がい者となった方で、1986年3月31日以前に日本に移住した在日外国人(特別永住者等)。前年の所得が一定額を超えるときは支給されない場合があり、町田市に住民登録して1年を経過していない場合は対象外。,https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/seikatsukurashi/20230831zainichi.html
1359,application,申請方法は「オンライン(町田市公式LINE)」「郵送」「市民生活安全課窓口」の3通り。主な必要書類は購入内容が確認できる領収書の原本、申請者名義の振込先口座情報の写し、本人確認書類の写し。,https://www.city.machida.tokyo.jp/kurashi/bouhan/bouhan/sumai-bohan-hojo.html
1359,condition,対象は申請日現在、市内に住民登録がありその住所に居住している世帯で、過去にこの補助金または都内の同類補助金を受けていない世帯。1世帯当たり1回の申請に限る。,https://www.city.machida.tokyo.jp/kurashi/bouhan/bouhan/sumai-bohan-hojo.html
1362,application,申請窓口はお住まいの地域の障がい者支援センター、または障がい福祉課(市庁舎1階113窓口)。主な必要書類は身体障害者手帳、申請書、改善前後の図面、改善前の写真、工事計画書・工事見積書等。,https://www.city.machida.tokyo.jp/iryo/syougai_hukushi/nitijoseikatsushien/jutakujidosya/house_imp.html
1363,condition,対象は18歳以上で市内在住、身体障害者手帳の障害名が上肢障害・下肢障害・体幹機能障害で、その合計の等級が1級か2級の方。自らが所有し運転する自動車の一部を改造する必要があることが要件。,https://www.city.machida.tokyo.jp/iryo/syougai_hukushi/nitijoseikatsushien/jutakujidosya/kaizo.html
1364,application,申請は窓口で行い、申請先は障がい福祉課(市庁舎1階113窓口)、各障がい者支援センター、各市民センター等。主な必要書類は身体障害者手帳・愛の手帳・精神障害者保健福祉手帳、医療保険情報が確認できるもの、本人名義の振込口座がわかるもの、同意書兼委任状。,https://www.city.machida.tokyo.jp/iryo/syougai_hukushi/iryohijosei/marusyou.html
1365,condition,対象は18歳以上で身体障害者手帳をお持ちの方で、記載された障がいに対する治療(障がいの除去・軽減で確実な効果が期待できる手術等)が対象。所得制限があり、世帯所得に応じて月額自己負担上限額が設定される。指定医療機関での治療に限る。,https://www.city.machida.tokyo.jp/iryo/syougai_hukushi/iryohijosei/koseiiryo.html
1366,application,申請は窓口で行い、申請先は障がい福祉課(市庁舎1階114窓口)。主な必要書類は身体障害者手帳(1・2級)または愛の手帳(1〜3度)、本人名義の振込先口座が分かるもの、転入者は住民税課税・非課税証明書。,https://www.city.machida.tokyo.jp/iryo/syougai_hukushi/teatenenkin/20211116-shinsho.html
