program_id,fact_type,value,evidence_url
762,application,「補聴器購入費助成金申請書」に補聴器相談医が記入した医師意見書（検査結果を含む）等を添えて、健康福祉部高齢者支援課（本庁舎12番窓口）へ持参または郵送で提出する。主な必要書類は補聴器購入費助成金申請書、医師意見書、補聴器購入費助成金交付決定通知書、代理受領に係る補聴器購入費支払請求書兼委任状など。,https://www.city.mitaka.lg.jp/c_service/099/099672.html
804,application,医療証交付申請書を子育て支援課手当・医療係（市役所4階43番窓口）または各市政窓口へ提出するほか、郵送や「ぴったりサービス」を利用した電子申請（マイナンバーカード必須）も可能。主な必要書類は来庁者の本人確認書類、お子さんの公的医療保険証がわかるもの、医療証交付申請書（別居の場合は別居監護の申立書、郵送・市政窓口の場合はマイナンバー確認書類のコピー）。,https://www.city.mitaka.lg.jp/c_service/001/001144.html
805,application,就学援助制度は電子申請または紙の申請書により在籍校へ提出する。就学奨励制度は学校から受け取った申請書を学校（市立小・中学校以外は学務課）へ提出する。いずれもマイナンバーの記載・提示と本人確認書類が必要。,https://www.city.mitaka.lg.jp/c_service/001/001152.html
984,application,「三鷹市高齢者等紙おむつ支給事業利用申込書」を高齢者支援課へ窓口または郵送で提出する。主な必要書類は介護保険被保険者証（保険者が三鷹市以外の場合）、世帯全員の住民税非課税証明書（1月1日以降に市内へ転入した場合）。,https://www.city.mitaka.lg.jp/c_service/000/000917.html
985,condition,市内に住所を有する65歳以上（介護保険第2号被保険者で特定疾病の場合は65歳未満を含む）で、介護保険の要介護認定が要介護4または要介護5の住民税非課税世帯の方が対象。紙おむつの持ち込みが認められていない医療機関に入院し紙おむつ代の支払いがある方で、現物支給を受けていないことが要件（生活保護受給世帯は除く）。所得制限あり（住民税非課税世帯に限定）。,https://www.city.mitaka.lg.jp/c_service/079/079742.html
986,application,見積もり、改修前・改修後の図面、改修前の写真、改修する浴槽等のカタログの写し等を添えて、健康福祉部介護保険課介護給付係へ窓口申請する（訪問調査を伴う）。住宅所有者の承諾書は必要な方のみ提出。,https://www.city.mitaka.lg.jp/c_service/000/000910.html
986,condition,市内に住所を有する65歳以上で要介護認定の結果通知を受けており、日常生活動作に困難があり住宅改修が必要と認められる方が対象。生計中心者の住民税課税状況により助成率が異なり、課税世帯7割、非課税世帯9割、生活保護受給世帯は全額を助成する。,https://www.city.mitaka.lg.jp/c_service/000/000910.html
987,condition,要支援または要介護認定を受けているかたで、在宅で生活を送っているかたが対象。,https://www.city.mitaka.lg.jp/c_service/014/014875.html
989,application,児童扶養手当認定請求書を、子ども政策部子育て支援課手当・医療係（市役所4階43番窓口）へ提出する。主な必要書類は認定請求書、申請者と対象児童の戸籍謄本（発行日より1カ月以内）、申請者名義の振込先口座情報、マイナンバー確認書類、本人確認書類。,https://www.city.mitaka.lg.jp/c_service/060/060432.html
990,application,児童育成手当認定請求書を、子育て支援課（市役所4階43番窓口）へ提出する。主な必要書類は認定請求書、申請者と対象児童の戸籍謄本（発行日より1カ月以内）、申請者名義の振込先口座情報（障害手当の場合は身体障害者手帳・愛の手帳または診断書）など。,https://www.city.mitaka.lg.jp/c_service/001/001139.html
990,condition,育成手当は、父母の死亡・重度障がい・離婚・生死不明・遺棄・拘禁等の状態にある、18歳到達後最初の3月31日までの児童を養育する方が対象。障害手当は、身体障がい1～2級程度・知的障がい1～3度程度・脳性麻痺または進行性筋萎縮症にある20歳未満の児童を養育する方が対象。所得制限あり（扶養親族数により異なる）。,https://www.city.mitaka.lg.jp/c_service/001/001139.html
991,application,医療証交付申請書を、子育て支援課手当・医療係（市役所4階43番窓口）へ提出する（医療証再交付の場合のみ郵送対応）。主な必要書類は来庁者の本人確認書類、保護者・お子さんの公的医療保険の資格情報、医療証交付申請書、別居の場合は別居監護の申立書、マイナンバー関連書類。,https://www.city.mitaka.lg.jp/c_service/001/001149.html
