program_id,fact_type,value,evidence_url
777,application,申請は役場福祉部高齢者福祉課高齢者支援係の窓口、または電子申請フォーム（購入前の助成申請）で行う。主な必要書類は高齢者補聴器購入費助成申請書（様式第1号）、耳鼻咽喉科医師が作成する医師意見書、オージオグラム（純音聴力検査表）の写し、補聴器の見積書の写し。,https://www.town.mizuho.tokyo.jp/kenkofukushi/002/002/p011529.html
849,application,申請先は福祉部子育て応援課子育て支援係で、庁舎1階の窓口申請のほか、乳幼児・義務教育就学児・高校生等医療費助成はぴったりサービスによるオンライン申請ができる。主な必要書類は加入医療保険の状況が確認できるもの、申請者および配偶者のマイナンバーカード、ひとり親家庭等（マル親）は戸籍。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
849,condition,乳幼児（マル乳）・義務教育就学児（マル子）・高校生等（マル青）の各医療費助成は所得制限なしで、それぞれ就学前・15歳年度末まで・18歳年度末までの児童が対象。ひとり親家庭等医療費助成（マル親）は18歳年度末まで（障がい児は20歳未満）の児童を養育する方が対象で、所得制限がある。,https://www.town.mizuho.tokyo.jp/kosodate/003/002/p005116.html
850,application,申請は就学援助費支給申請書を教育委員会教育部学校教育課、または在学している町内の小・中学校へ提出して行う。借家の場合は契約書・家賃証明書等の写し、1月2日以降転入の方は転入前自治体の課税・非課税証明書等が必要で、年度当初の申請は4月中に行う。,https://www.town.mizuho.tokyo.jp/kyoikuiinkai/procedure/003/p001763.html
1421,application,申請先は福祉部子育て応援課子育て支援係。主な必要書類は請求者および児童の戸籍謄本、請求者名義の口座が確認できるもの、児童が障がいを有する場合は身体障害者手帳または愛の手帳等、請求者・対象児童・扶養義務者のマイナンバーカード。,https://www.town.mizuho.tokyo.jp/kosodate/003/001/p005261.html
1421,condition,18歳に達する日以後の最初の3月31日までの間にあり、父母の離婚・死亡・重度障害など9つの要件のいずれかに該当する児童を養育する方が対象。請求者が町に住民登録をしていること、児童が国内に住民登録をし児童福祉施設等に入所していないことが要件で、請求者の所得により全部支給・一部支給・支給停止が決まる所得制限がある。,https://www.town.mizuho.tokyo.jp/kosodate/003/001/p005261.html
1422,application,申請先は福祉部子育て応援課子育て支援係。育成手当の主な必要書類は申請者および児童の戸籍謄本、父母の身体障害者手帳等、申請者名義の口座が確認できるもの、申請者および対象児童のマイナンバーカード。障害手当は身体障害者手帳・愛の手帳または医師の診断書、口座確認書類、マイナンバーカードが必要。,https://www.town.mizuho.tokyo.jp/kosodate/003/001/p005259.html
1423,application,問い合わせ・申請先は福祉部子育て応援課子育て支援係。手続に必要なものとして身体障害者手帳、申請者名義の口座が確認できるもの、マイナンバーカードが挙げられており、支給要件や世帯状況等により上記以外にも必要となる書類や調査がある。,https://www.town.mizuho.tokyo.jp/kosodate/003/001/p005115.html
1424,condition,身体障害者手帳または愛の手帳の交付を受けているか難病患者で、在宅生活をしている方が対象。前年の所得が一定の限度額以上の方は対象外で、施設入所者・入院中の方・介護保険で対象福祉用具を所有している方などは除外される。,https://www.town.mizuho.tokyo.jp/kenkofukushi/004/006/p001332.html
1425,application,申請先は福祉部福祉課障がい者支援係。主な必要書類は申請書、身体障害者手帳、見積書、工事計画書、自己の所有家屋以外に居住する方は家屋所有者または管理者の承諾書および当該家屋に係る賃貸借契約書の写し。,https://www.town.mizuho.tokyo.jp/kenkofukushi/004/004/p001322.html
1425,condition,学齢児以上65歳未満で、下肢または体幹に係る障がいの程度が居宅生活動作補助用具は3級以上、中規模改修は2級以上、屋内移動設備は歩行不能かつ上肢・下肢又は体幹の障がいが1級の方が対象。前年の所得が一定の限度額以上の方は対象外で、施設入所者や家屋所有者の承諾がない方などは除外される。,https://www.town.mizuho.tokyo.jp/kenkofukushi/004/004/p001322.html
1426,application,窓口申請、郵送、オンライン申請（logoform.jpの専用フォーム）のいずれかで申請でき、申請先は福祉部福祉課障がい者支援係。主な必要書類は申請書（手書用またはエクセル形式の電子申請用）と身体障害者手帳・愛の手帳または主治医の意見書。,https://www.town.mizuho.tokyo.jp/kenkofukushi/004/004/p001308.html
1427,application,役場窓口での申請、または電子申請（オンライン申請）で行い、申請先は福祉部高齢者福祉課高齢者支援係。主な必要書類は1号申請書、同意書、失禁状況等記入票。,https://www.town.mizuho.tokyo.jp/kenkofukushi/002/002/p005018.html
1428,application,窓口またはオンライン（専用フォームに日常生活用具1号申請書を添付）で申請し、申請先は福祉部高齢者福祉課高齢者支援係。主な必要書類は日常生活用具1号申請書および同意書で、電子申請の場合は同意書の添付は不要。,https://www.town.mizuho.tokyo.jp/kenkofukushi/002/002/p005019.html
1428,condition,要介護および要支援認定において「非該当」と判定された65歳以上の方が対象。事前の審査が必要なため必ず購入前に相談することとされ、生活保護受給者は無料となる。,https://www.town.mizuho.tokyo.jp/kenkofukushi/002/002/p005019.html
1429,condition,日常生活動作の低下により住宅の改修が必要と認められる、65歳以上で要介護および要支援認定の結果「非該当」と認定された方が対象。住宅設備改修給付のみ要支援・要介護と認定された方も対象となることがあり、生活保護の方は限度額内の自己負担が免除される。,https://www.town.mizuho.tokyo.jp/kenkofukushi/002/002/p005097.html
