program_id,fact_type,value,evidence_url
1326,condition,市内に住み20歳未満の児童を養育する母又は父で、児童扶養手当の支給を受けているか同等の所得水準にあり、6か月以上のカリキュラムで対象資格の取得が見込まれ就業と修業の両立が困難と認められるかたが対象。過去にこの給付金を受給していないことが条件で、市町村民税の課税・非課税により支給額が異なる。,https://www.city.musashimurayama.lg.jp/kosodate/teate/hitorioya/1003761.html
1327,application,子ども家庭支援センター（市民総合センター2階）の窓口又はLOGOフォームによるオンライン申請後に面談を行う。必要書類は支援申請書、児童扶養手当証書等ひとり親家庭であることを証する書類、保護者の前年（1～6月申請は前々年）の所得を証する書類。,https://www.city.musashimurayama.lg.jp/kosodate/teate/hitorioya/1003762.html
1328,application,貸付の手続きは子ども家庭支援センターで受け付けており、事前に電話で連絡のうえ来所する。申請を受けてから資金を交付するまで通常1か月以上を要する。,https://www.city.musashimurayama.lg.jp/kosodate/teate/hitorioya/1003769.html
1329,application,市民総合センター（学園四丁目5番地の1）1階の障害福祉課窓口で申請する。福祉タクシー利用資格認定申請書、身体障害者手帳又は愛の手帳、印鑑、転入者は課税（非課税）証明書が必要。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1018461/1018462.html
1330,condition,保護者が武蔵村山市に在住する18歳未満で、肢体不自由や心臓障害等の機能障害があり手術等により確実な治療効果が期待できる児童が対象。同じ健康保険に加入している世帯員の市民税所得割が23万5千円未満であること、指定医療機関で医療を受けることが要件。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000710.html
1331,condition,身体障害者手帳の交付を受けている満18歳以上で、東京都心身障害者福祉センターの判定により医療の給付が必要であると認められたかたが対象。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000712.html
1332,application,必要書類を障害福祉課に提出して申請する（窓口申請）。必要書類は補装具費支給申請書、世帯員全員の前年の所得を証する書類、世帯状況・収入申告書、見積書、児童補装具等の場合は医師の意見書。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000713.html
1333,condition,身体障害者手帳、愛の手帳（療育手帳）、精神障害者保健福祉手帳を持つかた又は難病患者が対象で、用具種目により障害内容・等級などの要件が異なる。生活保護受給世帯及び住民税非課税世帯は自己負担0円、住民税課税世帯は費用の1割負担。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000714.html
1334,application,市民総合センター1階の障害福祉課窓口に必要書類を提出して申請する。必要書類は住宅設備改善費給付申請書、工事計画書、見積書、世帯員全員の前年所得を証する書類、立面図及び平面図、同意書、個人番号カード。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000715.html
1335,application,市民総合センター1階の障害福祉課へ請求書受付期間内に持参するか郵送で申請する。必要書類は身体障害者手帳又は愛の手帳、自動車検査証、運転免許証、支払金口座振替依頼書、前年の所得証明書で、請求時には領収書等も添付する。,https://www.city.musashimurayama.lg.jp/kurashi/shougai/kyufu/1000716.html
