program_id,fact_type,value,evidence_url
43,condition,妊娠85日（12週）以降に出産した方、または出産予定で練馬区国民健康保険に加入している被保険者本人が対象で、死産・流産・早産・人工妊娠中絶を含みます。所得制限はありません。,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/sannzennsanngo.html
54,application,申請先は国保年金課こくほ資格係（区役所本庁舎3階）またはこくほ石神井係（石神井庁舎2階）の窓口で、世帯主からの申請が必要です。必要書類は保険者または年金事務所が発行した健康保険資格喪失証明書（職場発行のものは不可）です。,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kyuhihuyo.html
54,condition,職場の健康保険などに加入していた方が後期高齢者医療制度へ移行することに伴い、その被扶養者であった65歳以上の方が国民健康保険に加入する場合が対象です。減額期間は最大2年間で、所得割は全額免除、均等割は50パーセント減額されます。,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kyuhihuyo.html
55,application,災害や傷病による離職などの特別な事情がある場合、まず事前に電話で相談し、事情を伺ったうえで必要書類などを案内されます（保険料03-5984-4554／医療費03-5984-4553）。,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/haraenai.html
55,condition,災害や傷病による離職などの特別な事情により、一時的に保険料や医療費の支払いが困難な場合が対象です。減免の可否は、世帯の平均収入額や預貯金など資産の合計と、生活保護基準に基づき算定した額とを比較して決定されます。,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/haraenai.html
414,application,電子申請、窓口（練馬区役所東庁舎7階）、電話（03-5984-2484）、メールの4つの方法で申し込みができます。メール申請時は、氏名・住所・生年月日・電話番号・対象者区分・風しん抗体検査結果の有無・現在の妊娠可能性を記入して送付します。,https://www.city.nerima.tokyo.jp/hokenfukushi/hoken/yobo/koutaikensa.html
414,condition,抗体検査日現在、練馬区に住民登録がある19歳以上の方が対象で、妊娠を希望する女性・その同居者、または妊娠中の女性の同居者が対象となります。ただし、接種日現在に妊娠している方は対象外です。,https://www.city.nerima.tokyo.jp/hokenfukushi/hoken/yobo/koutaikensa.html
433,application,地域包括支援センター窓口、または高齢者支援課窓口（西庁舎3階）で申請し、郵送でも受け付けます。必要書類は、耳鼻咽喉科医師の意見欄を含む申請書、購入時の領収書原本、請求書兼口座振替依頼書などです。,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/20210419134246065.html
433,condition,練馬区に住所を有する65歳以上で、耳鼻咽喉科の医師により聴力低下のため日常生活に支障があり補聴器の必要性を認める旨の意見書を得られる方が対象です。身体障害者手帳（聴覚障害）を持たず、過去5年以内に同助成を受けていないことが要件で、住民税の課税・非課税で助成額が異なります。,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/20210419134246065.html
480,condition,無償化の給付は、区から保育の必要性の認定を受けた0～2歳児の住民税非課税世帯または3～5歳児の全世帯の子どもが対象です。保育料補助金は、認証保育所または指導監督基準を満たす認可外保育施設と月160時間以上の月ぎめ契約をし、毎月1日時点で現に保育を受け練馬区に住所を有する児童が対象です。,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/shinshien/youhomusyou/mushoka_ninkagai.html
502,application,東京都認定事業者と直接契約してベビーシッターを利用した後、必要書類を添えて郵送または電子申請（LoGoフォーム）で申請します。必要書類は、補助金交付申請書兼請求書、利用内訳表、ベビーシッター要件証明書、領収書、利用明細書などです。,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/babysitter.html
502,condition,利用日において対象児童と同居し練馬区に住民登録がある保護者で、突発的な事情や社会参加などで一時的な保育が必要な方が対象です。対象児童は0歳から小学3年生まで（障害児は小学6年生まで）で、東京都認定事業者の利用が要件です。,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/hoiku/itijiteki_hoiku/babysitter.html
525,application,妊娠中の方は練馬区で妊婦面談を受け、面談時に電子クーポンの登録方法（練馬区公式LINEの友だち追加が必要）を案内されます。出産後に転入した方は、利用日の14日前までにLoGoフォームからスマートフォン等で電子申請できます。所管は健康推進課母子保健係です。,https://www.city.nerima.tokyo.jp/hokenfukushi/hoken/sukoyaka/sango-keajigyou.html
548,application,電子申請（LoGoフォーム）または郵送で申請します。郵送先は在宅育児支援担当課子育て事業係で、必要書類は練馬区育児支援ヘルパー事業利用申請書です。,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/helper.html
548,condition,妊娠中からお子さんが2歳になった月の末日までの家庭が対象です。産前産後の体調不良等により、食事支度・洗濯・掃除・買い物・赤ちゃんの沐浴補助・健診付き添いなどの家事育児支援を必要とする家庭が利用できます。,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/sodan/kodomokateicenter/helper.html
