program_id,fact_type,value,evidence_url
764,application,高齢者支援課生きがい推進係（田無第二庁舎）に「補聴器購入費補助金申請書」を提出する（郵送での提出も可）。必要書類は補聴器購入費補助金申請書、医師意見書（申請後に市から送付）、非課税証明書（課税地が本市以外の場合）。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/koreisyasien/kaigo_dailylife/koureisyakikoe.html
847,application,オンライン申請、郵送（子ども若者応援課手当助成係）、または窓口（田無第二庁舎2階の子ども若者応援課手当助成係、保谷庁舎の総合窓口係）で申請する。主な必要書類は申請者と子供の健康保険の内容がわかるもの、申請者・配偶者・子の個人番号がわかるもの、来庁者の顔写真付き本人確認書類。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/kodomonoiryouhi.html
847,condition,市内に住所のある健康保険に加入している0歳から18歳到達後最初の3月31日までの方が対象（生活保護受給者、児童福祉施設に措置入所している方を除く）。所得制限の記載はない。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/kodomonoiryouhi.html
848,condition,西東京市に住所があり国公立小中学校に在籍する児童・生徒がいる家庭で、生活保護受給中・児童扶養手当受給中・家族全員の市民税が非課税・家族全員の収入合計が認定基準を下回る等のいずれかに該当する保護者が対象。,https://www.city.nishitokyo.lg.jp/kosodate/syo_tyugakko/syugakuenzyo.html
1289,application,地域共生課窓口（田無庁舎）への持込み、郵送、または電子申請のいずれかで申し込む。所管課は低所得世帯が地域共生課相談窓口係、被保護世帯が生活福祉課援護係。主な必要書類は低所得世帯等エアコン購入費助成金交付申請書、賃貸住宅の場合は工事実施承諾書。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/eakon2026.html
1289,condition,低所得世帯及び被保護世帯（生活保護世帯）で、居住する住宅にエアコンが1台も設置されていない、または故障等により1台も冷房機能が稼働しない状態にある世帯が対象。低所得世帯は住民税非課税世帯、住民税均等割のみ課税世帯、児童扶養手当受給世帯のいずれか。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/eakon2026.html
1291,application,田無庁舎1階の地域共生課相談窓口係（西東京市生活サポート相談窓口）で申請する。申請書類は窓口で配布され、減収の場合と離職の場合とで必要書類が定められている。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/yatinnsiharai.html
1291,condition,"離職・廃業の日から2年以内である、住居を喪失している又は喪失するおそれがある、世帯の生計を主に維持していた等の要件がある。収入基準は1人世帯で92,000円+家賃額（上限53,700円）、2人世帯で139,000円+家賃額（上限64,000円）など世帯人数ごとに定められている。",https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/yatinnsiharai.html
1292,application,西東京市生活サポート相談窓口（地域共生課相談窓口係）に相談する。連絡先は田無庁舎042-420-2809、保谷庁舎042-438-4023。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/seikatukonkyuusha.html
1292,condition,市内在住で生活保護を受給していない方のうち、経済的に困っている方及び同じ世帯の方が対象。資産、収入等の要件がある。,https://www.city.nishitokyo.lg.jp/kenko_hukusi/seikatuenzyo/seikatukonkyuusha.html
1293,application,所管課は子ども若者応援課（田無第二庁舎、電話042-460-9840）。主な必要書類は戸籍謄本（請求者および児童のもの）、請求者等の個人番号に関する書類、請求者名義の金融機関口座がわかるもの、請求者の状況により課税証明書・住民票・各種申立書等。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/jidofuyoteate.html
1294,application,所管課は子ども若者応援課（田無第二庁舎）。主な必要書類は申請者および児童の戸籍謄本、申請者名義の金融機関口座がわかるもの、課税証明書、申請者の本人確認書類など。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/zidouikusei.html
1294,condition,"父母が離婚した児童、父または母が死亡した児童など該当するケースの児童を扶養する父・母・養育者が対象で、対象年齢は18歳になった最初の年度末まで。所得制限は扶養親族0人で年間3,661,000円以下（扶養親族数により変動）。",https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/zidouikusei.html
1295,application,所管課は子ども若者応援課（田無第二庁舎、電話042-460-9840）。主な必要書類は身体障害者手帳または愛の手帳の写し、家族全員の住民票（続柄入り）、申請者名義の金融機関口座がわかるもの、課税証明書、申請者の本人確認書類。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/jidouikuseisyougai.html
1296,application,所管課は子ども若者応援課。主な必要書類は指定の様式の診断書、身体障害者手帳・愛の手帳の写し、家族全員の住民票（続柄入り）、申請者及び対象児童の戸籍謄本、申請者名義の金融機関口座の写し、課税証明書、申請者の本人確認書類、マイナンバーがわかるもの。,https://www.city.nishitokyo.lg.jp/kosodate/teate_zyosei/tokuji.html
1297,application,申請は窓口のみ（田無第二庁舎2階の子ども若者応援課手当助成係）。主な必要書類は戸籍謄本（申請者および児童のもの）、申請者と子供の健康保険等の内容がわかるもの、養育費等に関する申告書、個人番号がわかるもの、来庁者の顔写真付き本人確認書類（1月1日に市に住民登録が無かった方は課税証明書）。,https://www.city.nishitokyo.lg.jp/kosodate/hitorioyakatei/45196320160104155022416.html
