program_id,fact_type,value,evidence_url
765,application,「事前確認依頼書」を市へ提出（郵送可）するか、LOGOフォームによる電子申請で受け付ける。申請先は健康福祉部高齢者支援課いきいき高齢者係。主な必要書類は事前確認依頼書、申請書、医師意見書（作成後3か月以内）、純音聴力検査表（オージオグラム）、見積書など。,https://www.city.ome.tokyo.jp/soshiki/30/78337.html
765,condition,市内に住所を有する満65歳以上で住民税非課税の方が対象。障害者総合支援法による補装具支給の非該当者で、過去5年以内に本事業の助成を受けていないことが要件。耳鼻咽喉科医により中等度難聴以上と診断され、補聴器の装用が必要と判断された方に限る。,https://www.city.ome.tokyo.jp/soshiki/30/78337.html
806,application,いずれもこども育成課が申請先で、児童手当は電子申請ポータルからの申請にも対応する。児童手当の必要書類は請求者名義の金融機関口座、健康保険情報、身元確認書類、マイナンバーが確認できる書類。各医療費助成は児童の健康保険情報がわかるものが必要。,https://www.city.ome.tokyo.jp/soshiki/33/39.html
806,condition,青梅市内に住所を有し、高校生年代まで（18歳に達する日以後最初の3月31日まで）の児童を養育している方が対象で、児童手当の所得制限は令和6年10月より撤廃された。医療費助成は乳幼児（小学校入学前）・義務教育就学児（小1〜中3）・高校生等の各区分に応じ、青梅市内に住所を有する養育者が対象となる。,https://www.city.ome.tokyo.jp/soshiki/33/39.html
807,application,令和8年度より電子申請の受付を開始し、スマートフォン等からオンライン申請ができる。通信環境や機器がない場合などは市役所3階の学務課で申請する。申請先は学務課学務係。,https://www.city.ome.tokyo.jp/site/ome-tky/3186.html
1400,application,市役所1階16番窓口（地域福祉課地域支援係・生活自立支援窓口）での申請、または郵送で受け付ける。主な必要書類は相談申込・受付票、住居確保給付金支給申請書、申請時確認書、離職状況等に関する申立書、給与明細や預貯金額の証明等。,https://www.city.ome.tokyo.jp/soshiki/27/66581.html
1400,condition,"離職等により経済的に困窮し、住居を失った、または失うおそれのある賃貸住宅入居者が対象で、生活保護受給者は対象外。世帯の収入・資産等の要件があり、世帯人数に応じた基準額の範囲内であること（単身の場合は基準額92,000円、家賃上限53,700円）が条件となる。",https://www.city.ome.tokyo.jp/soshiki/27/66581.html
1401,condition,おおむね65歳以上で市民税非課税の世帯に属し、寝たきりまたは失禁状態にあって紙おむつを必要とする在宅の方が対象。申請には地域包括支援センターの調査が必要となる。,https://www.city.ome.tokyo.jp/soshiki/30/110.html
1402,condition,65歳以上で、介護保険で非該当（自立）と判定されたが介護用品の給付が必要と認められる方が対象で、本人の身体状況等の調査がある。介護サービスの利用者負担が2割または3割となる所得基準に該当する世帯は、自己負担額も2割または3割となる。,https://www.city.ome.tokyo.jp/soshiki/30/104.html
1403,condition,身体障害者手帳または愛の手帳（療育手帳）の交付を受けている方、もしくは障害者総合支援法の対象となる難病等の方が対象で、障害の種別や程度（等級）により給付できる種目が異なる。世帯の所得に応じた負担上限額があり（生活保護受給世帯・市民税非課税世帯は負担なし）、病院入院・施設入所者や介護保険制度の対象者は原則対象外。,https://www.city.ome.tokyo.jp/soshiki/31/331.html
1404,application,障がい者福祉課の窓口で申請する。主な必要書類は日常生活用具費給付・用具貸与申請書（または住宅設備改善費給付申請書）、身体障害者手帳、改修内容・箇所がわかる見積書で、中規模改修等では工事計画書（工事図面添付）や家屋所有者承諾書が必要となる。,https://www.city.ome.tokyo.jp/soshiki/31/322.html
1404,condition,6歳以上65歳未満で、下肢または体幹機能障害等の一定等級以上の身体障害者手帳所持者が対象（小規模改修は下肢・体幹3級以上等、中規模改修は下肢・体幹2級以上）。世帯の所得に応じた一部負担があり、介護保険対象年齢の方は介護保険が優先される。,https://www.city.ome.tokyo.jp/soshiki/31/322.html
1408,application,申請先はこども家庭部こども育成課。主な必要書類は申請者の身元確認書類（運転免許証、パスポート等）、申請者および対象児童の戸籍謄本、申請者名義の金融機関口座がわかるもの、課税（非課税）証明書または所得証明書、申請者のマイナンバーが確認できる書類。,https://www.city.ome.tokyo.jp/soshiki/33/40.html
1409,application,申請先はこども家庭部こども育成課。主な必要書類は申請者および対象児童の戸籍謄本、申請者名義の金融機関口座がわかるもの、課税（非課税）証明書または所得証明書。,https://www.city.ome.tokyo.jp/soshiki/33/40.html
1409,condition,青梅市内在住で、父母が離婚した児童など一定の状態に該当する18歳に達する日以後最初の3月31日までの間にある児童を養育している方が対象。所得制限があり、所得制限限度額表が定められている。,https://www.city.ome.tokyo.jp/soshiki/33/40.html
