program_id,fact_type,value,evidence_url
384,application,大田区役所国民年金係または年金事務所の窓口、LoGoフォームを利用した大田区への電子申請、マイナポータルを利用した日本年金機構への電子申請、郵送のいずれかで申請できる。必要書類は手続きに来られる方の本人確認書類、免除を希望する方の基礎年金番号を明らかにできる書類、特例免除の場合は雇用保険被保険者離職票や雇用保険受給資格者証等。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/nenkin/hokenryoumenjo/kokuminnenkin_menzyo.html
384,condition,国民年金第1号被保険者で、所得が少ないなど保険料を納めることが困難な場合が対象。本人・世帯主・配偶者の前年所得が一定額以下であることが要件で、免除の種類ごとに所得の計算式が定められている。納付猶予は20歳から50歳未満の方が対象。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/nenkin/hokenryoumenjo/kokuminnenkin_menzyo.html
425,application,各特別出張所または本庁舎1階戸籍住民窓口で届け出る。パソコン・スマートフォンから転居届の窓口予約と転居届の作成ができる。持ち物は窓口に来られる方の本人確認書類（マイナンバーカード、免許証、保険証、在留カード等）、本人または同一世帯員以外が来庁する場合は委任状、マイナンバーカード所持者は別途手続きが必要。所管は戸籍住民課。,https://www.city.ota.tokyo.jp/seikatsu/koseki_j/jyuminhyo/todokede/tenkyo.html
447,condition,妊娠中に大田区へ転入された妊婦の方が対象。妊婦のための支援給付は前の自治体で給付を受けていない場合に大田区での支給対象となる場合がある。転入した妊婦で妊婦面接を受けた方には大田区子育て応援ギフト1万円相当が支給される。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/hikkoshi.html
468,condition,大田区に住民登録のある保護者で、児童が東京都認証保育所・認可外保育施設を利用し、対象施設と月120時間以上の利用契約を結んでいることが要件。施設等利用給付（無償化）の認定の有無を問わず対象となる場合がある。0～2歳児クラス利用時は課税・非課税証明書の提出が必要。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/hoiku/hoikushisetsu_nyukibo/ninkagaihoikusisetu/ninnkagaishisetsu_hojokin.html
492,application,入園時に幼稚園を通じて申請を行う。幼稚園から配布される申請書に記入し幼稚園に提出する。預かり保育料補助金については事前に大田区への申請が必要。所管は大田区教育総務課私学行政担当。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/kyouiku/kuyochien/mushouka.html
492,condition,満3歳（3歳の誕生日の前日から対象）から5歳の園児で、大田区に居住し住民登録している保護者が対象。入園料補助金に所得制限はない。預かり保育料補助を受ける場合は子育てのための施設等利用給付認定（第2号又は第3号）が必要。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/kyouiku/kuyochien/mushouka.html
515,application,補助を受けるには利用前に施設等利用給付認定（第2号又は第3号）を受ける必要があり、申請窓口は保育サービス課利用支援担当。満3歳児（課税世帯）は保育の必要性の確認のためオンライン申請フォームより申請する。書類郵送が必要な場合の宛先は大田区教育総務課私学行政担当。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/kyouiku/kuyochien/azukarihoiku.html
538,application,郵送のみで申請する。大田区多胎児家庭移動経費助成申請書（裏面に利用内訳を記載）と、利用日および金額が明記された領収書やレシート（貼付用紙に貼付）を提出する。申請先は大田区健康政策部健康づくり課。申請日は郵便局の消印日（当日消印有効）。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shussan/tataijiidousien.html
561,application,利用会員は区公式YouTubeを視聴後に登録し、利用会員入会申込書・視聴確認書・登録者及び子の証明書類コピーをファミリー・サポートおおた大森事務局へ郵送または持参する。提供会員は区主催の提供会員養成講座を受講・修了する（電子フォームLogoFormで申込可）。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/kodomo_katei_shien_c/fami_sappo.html
561,condition,提供会員は大田区に在住の20歳以上で心身ともに健康な方。利用会員は大田区に在住か在勤の方で、生後4ヶ月からおおむね12歳（小学生）までの子の育児の援助を受けたい方が対象。,https://www.city.ota.tokyo.jp/seikatsu/kodomo/shien/kodomo_katei_shien_c/fami_sappo.html
592,application,雇用保険受給資格者証または雇用保険受給資格通知と本人確認書類を持参のうえ、大田区国保年金課国保資格係窓口（大田区役所4階11番）で申請する。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/hokenryou/genmen.html
592,condition,65歳未満（雇用保険受給資格者証の離職時年齢が64歳まで）の雇用保険の特定受給資格者及び特定理由離職者が対象。離職理由コードが特定受給資格者は11・12・21・22・31・32、特定理由離職者は23・33・34に該当する者。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/hokenryou/genmen.html
637,application,窓口・郵送・電子申請のいずれかで申請できる。申請先は国保年金課国保給付係。必要書類は来庁者の本人確認書類、世帯主および減額対象者の個人番号確認書類等で、転入者は前住所地の課税証明書が必要な場合や、別世帯の方が来庁する場合は委任状が必要。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/ukerareru/gendogakutekiyoninteisho.html
637,condition,70歳未満で大田区国民健康保険に加入している方、または70歳以上74歳以下で限度額区分が低所得者2・低所得者1・現役並み2・現役並み1の方で大田区国民健康保険に加入している方が対象。保険料に未納があるときは認定証を発行できない場合がある。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/ukerareru/gendogakutekiyoninteisho.html
638,application,毎年2月頃に高額介護合算療養費等支給申請書を郵送するので、届いたら申請書を提出する。申請先は国保年金課国保給付係（電話03-5744-1211）。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/ukerareru/kougakukaigo.html
638,condition,国民健康保険と介護保険を利用している国民健康保険の世帯で、国保と介護保険の両方の自己負担を合算し、その年額の限度額を超えた場合が対象。国民健康保険加入と介護保険加入の両方が要件。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kokuho/ukerareru/kougakukaigo.html
639,condition,1か月の医療費の自己負担額（保険適用分）が自己負担限度額を超えた場合に、超えた金額が高額療養費として支給される。,https://www.city.ota.tokyo.jp/seikatsu/kokunen/kouki_k_iryou/kyufu/kougakuryouyouhi.html
