program_id,fact_type,value,evidence_url
46,application,窓口（国保・年金課国民年金係＝区役所第2庁舎2階24番窓口、総合支所くみん窓口、出張所）、郵送（世田谷区役所国保・年金課国民年金係あて）、または電子申請（マイナポータルから日本年金機構あて）で届出できます。必要書類は厚生年金（社会保険）資格喪失証明書、本人確認書類、届出対象者の番号確認書類などです。,https://www.city.setagaya.lg.jp/02060/361.html
46,condition,日本に住民登録のある20歳以上60歳未満の方が、退職、厚生年金加入配偶者の扶養から外れた、配偶者の退職・65歳到達、国外からの転入、20歳到達などの事由に該当した場合に、国民年金第1号加入の届出が必要です。,https://www.city.setagaya.lg.jp/02060/361.html
50,application,世田谷区役所第2庁舎の国保・年金課資格賦課（2階26番窓口）での窓口申請、または郵送で届出します。必要書類は、出産前は母子健康手帳（母の氏名と分娩予定日が記載されたページ）等、出産後は出生届の提出等を確認できる書類のいずれか1点です。,https://www.city.setagaya.lg.jp/02060/296.html
50,condition,世田谷区の国民健康保険に加入中で、令和5年11月1日以降に出産予定または出産された方が対象です。免除期間は出産（予定）日が属する月の前月から翌々月までの計4か月間（多胎妊娠の場合は3か月前から翌々月までの計6か月間）です。,https://www.city.setagaya.lg.jp/02060/296.html
58,condition,高校卒業年度の3月31日時点で28歳未満かつ世田谷区から生活保護を受給していたこと、入学時点で学生本人が生活保護を受給していないこと、入学後も保護者が世田谷区から生活保護を受給していること、本人または保護者のいずれかが世田谷区内に住所を有すること、高校卒業後3年以内（2浪まで）に国の高等教育の修学支援新制度の確認校へ初めて入学し留年していないこと等、すべての要件を満たす必要があります。,https://www.city.setagaya.lg.jp/02413/11232.html
378,condition,世田谷区から他の市区町村や外国へ引越しをする方が対象で、本人・世帯主・同一世帯員が届出できます（その他の方は委任状が必要）。届出期間は国内への引越しは前後14日以内、国外への引越しは前14日以内です。,https://www.city.setagaya.lg.jp/02233/90.html
404,application,抗体検査はオンライン手続き（LoGoフォーム）または世田谷区予防接種コールセンター（電話）へ申込みます。予防接種は区内の指定医療機関に助成券が設置されており、予約のうえ直接来院します（保健所への申込は不要）。所管は感染症対策課予防接種担当です。,https://www.city.setagaya.lg.jp/02015/15598.html
404,condition,妊娠を希望する女性、その同居者、妊婦の同居者などが対象です。予防接種は抗体価が低いと判明した19歳以上の世田谷区民が対象となります。,https://www.city.setagaya.lg.jp/02015/15598.html
418,application,電話またはFAXで申請書を取得し、耳鼻咽喉科の受診（医師意見欄記入・聴覚検査結果の取得）と補聴器販売店での見積書取得後、記入済み申請書（裏面に聴覚検査結果を添付）と見積書を、郵送または電子申請（LoGoフォーム）で高齢福祉課（世田谷区世田谷4-21-27）へ提出します。審査後に交付決定通知を受け取り、販売店で購入します。,https://www.city.setagaya.lg.jp/02082/10803.html
438,application,住所地を管轄する各総合支所保健福祉課またはあんしんすこやかセンターで利用申請します。受給決定通知を受け取った後、紙おむつ支給は月1回配達され、おむつ代助成は4か月ごとにおむつ代の領収書を添えて請求し銀行口座に振込を受けます。,https://www.city.setagaya.lg.jp/02082/2415.html
438,condition,世田谷区に住所があり、要介護3～5に認定された65歳以上の方または介護保険第2号被保険者（40～64歳）で、ねたきり等の状態が継続し失禁のため2か月以上おむつを使用する方が対象です（介護保険施設入所者を除く）。,https://www.city.setagaya.lg.jp/02082/2415.html
461,application,世田谷保健所健康企画課（電話03-5432-2447）が所管し、承認申請書（様式1）・治療実施計画書（様式1の2）・交付申請書（様式3）・治療実施証明書（様式3の2）等の様式により申請します。詳しい手続き方法は区が公開する申請の手引きを参照します。,https://www.city.setagaya.lg.jp/02013/3275.html
484,application,対象品の購入・支払い完了後、必要書類を申請先へ郵送または窓口へ持参して申請し、書類審査のうえ助成交付が決定されます。申請先は世田谷保健所健康企画課（世田谷区世田谷4-24-1城山分庁舎）で、必要書類は交付申請書兼請求書、治療や疾病・外傷の証明書類、領収書の原本です。,https://www.city.setagaya.lg.jp/02013/3281.html
484,condition,申請日において世田谷区に住所を有し、脱毛や乳房の切除等をされた方が対象です。助成はお一人につき、世田谷区および東京都内の他の自治体の同様の事業を含め、生涯で2回まで受けることができます。,https://www.city.setagaya.lg.jp/02013/3281.html
507,application,電子申請（専用のLoGoフォーム）または郵送で、区の委託事業者であるアデコ株式会社（世田谷区ベビーシッター事務センター、江東区木場2-7-23）へ申請します。必要書類はベビーシッター利用内訳表、認定事業者から交付された要件証明書・領収書・利用明細書等、振込先口座情報などで、区の窓口では受付できません。,https://www.city.setagaya.lg.jp/01044/28399.html
530,application,区公式LINEでの利用登録（妊娠28週から受付）→利用者登録承認→利用申込→利用決定の流れで申込みます（LINEでの登録が難しい場合は電話申込も可能）。所管はお住まいの地域の子ども家庭支援センターまたは児童相談支援課で、母子手帳等が必要です。,https://www.city.setagaya.lg.jp/03648/1213.html
553,application,区の保健師等との面談・相談を経て、オンライン手続きから申請します（オンラインが難しい場合は申請書PDFを郵送）。区の資格認定結果通知（約2週間）を受けた後、支給申請書と領収書またはレシートを郵送提出します。所管は子ども・若者部子ども家庭課子ども・子育て支援担当（世田谷区世田谷4-21-27）です。,https://www.city.setagaya.lg.jp/02413/online_tetsuzuki/1209.html
