program_id,fact_type,value,evidence_url
325,application,条件に該当している世帯には、毎年3月頃に東京都後期高齢者医療広域連合から申請書が郵送されます。手続き書類等の詳細は東京都後期高齢者医療広域連合（高額介護合算療養費）のホームページで確認します。,https://www.city.shinjuku.lg.jp/hoken/koreiiryo01_002018.html
351,application,新宿区から医療機関等に直接支払う直接支払制度・受取代理制度があり、それ以外の場合は新宿区での手続き（郵送申請可）が必要です。必要書類は医療機関等と交わす合意文書、領収書・明細書、出産の確認ができるもの、世帯主の口座がわかるもの、本人確認書類、出産された方の個人番号確認書類などで、所管は健康部医療保険年金課国保給付係です。,https://www.city.shinjuku.lg.jp/kenkou/hoken01_002065_00004.html
352,application,医療保険年金課国保給付係（新宿区役所本庁舎4階4番窓口）での窓口申請のほか、郵送での申請も可能です。必要書類は療養費支給申請書、窓口に来る方の本人確認書類、受診時の世帯主の振込先口座情報のわかるもののほか、療養費の内容に応じた書類が必要です。,https://www.city.shinjuku.lg.jp/hoken/file02_04_00003.html
352,condition,急病などでマイナ保険証または資格確認書を持参せず保険診療を受けたときなどが支給の対象です。治療目的で海外渡航した場合の療養は支給の対象外です。,https://www.city.shinjuku.lg.jp/hoken/file02_04_00003.html
412,application,マイナポータルを利用してオンライン申請による転出届ができ、所管は地域振興部戸籍住民課住民記録係です。有効な利用者証明用電子証明書及び署名用電子証明書が搭載されたマイナンバーカード、各暗証番号、マイナンバーカードに対応したスマートフォンまたはカードリーダーを接続したパソコン、マイナポータル専用アプリケーションが必要です。,https://www.city.shinjuku.lg.jp/todokede/oss.html
427,condition,抗体検査は新宿区に住民登録がある19歳以上の方で、妊娠を希望する女性（妊娠中を除く）やその配偶者・パートナー及び同居者、妊婦の配偶者・パートナー及び同居者が対象です。予防接種は抗体検査を受け抗体価が低かった方が対象で、過去に同検査を受けた方や確定診断を受けた方等は除きます。,https://www.city.shinjuku.lg.jp/fukushi/yobo01_001178.html
452,application,申請窓口は高齢者支援課（区役所本庁舎2階5・6番窓口）または各高齢者総合相談センターです。必要書類はご本人の状況に応じて異なるため、事前に問い合わせが必要です。,https://www.city.shinjuku.lg.jp/fukushi/file05_02_00006.html
452,condition,新宿区に住所登録があり、要介護1以上の方（第2号被保険者を含む）、または65歳以上で医療機関に入院中の方で、日常的におむつを必要とする方が対象です。介護保険料段階第1～8段階の方が対象で、住民税非課税の方や生活保護等を受けている方は自己負担なしとなります。,https://www.city.shinjuku.lg.jp/fukushi/file05_02_00006.html
475,application,LoGoフォームを使用したオンライン申請、または委託事業者（株式会社ケー・デー・シー）への郵送申請により手続きします。必要書類は助成金交付申請書、申請書別表（利用内訳書）、領収書、利用明細書、ベビーシッター要件証明書、振込口座がわかるものなどです。,https://www.city.shinjuku.lg.jp/kodomo/kodomosc01_000001_00044.html
494,condition,私立幼稚園、国立大学附属幼稚園及び東京都認定の幼稚園類似施設に通園する園児とともに、新宿区に住所（住民登録）がある保護者が対象です。所得の状況により補助金の交付額が異なります。,https://www.city.shinjuku.lg.jp/kodomo/gakko02_000001_00006.html
517,application,担当する保健センターの電子申請フォームからの電子申請、利用登録申請書を担当保健センターへ送る郵送申請、または担当保健センターに直接来所する窓口申請の3つの方法があります。妊娠7か月（24週）以降、利用予定日の2週間前までに申請が必要です。,https://www.city.shinjuku.lg.jp/fukushi/postpartum_care.html
540,condition,新宿区に住民登録があり、妊婦の方、1歳未満のお子さんと同居して養育している方、3歳未満のお子さんと4歳未満の兄姉と同居して養育している多子家庭の方、3歳未満の多胎児と同居して養育している方のいずれかに該当する方が対象です。,https://www.city.shinjuku.lg.jp/kodomo/file03_02_00001.html
563,application,管轄の保健センターの窓口で、面接と申請書の提出が必要です。0歳児の健康診査や1歳6か月児歯科健康診査、双子の会など区の事業参加の際に申し込むこともでき、来所の際は事前に担当の保健センターへ連絡します。,https://www.city.shinjuku.lg.jp/fukushi/multiple_birth.html
597,condition,離職日時点で65歳未満の方で、公共職業安定所（ハローワーク）で雇用保険の手続きをして雇用保険の特定受給資格者又は特定理由離職者と認められた方が対象です。,https://www.city.shinjuku.lg.jp/hoken/hoken02_000102.html
