program_id,fact_type,value,evidence_url
59,condition,令和7年度もしくは令和8年度の住民税非課税世帯・住民税均等割のみ課税世帯、令和7年度児童扶養手当受給世帯のいずれかに該当し、申請時に杉並区に住民登録がある世帯が対象。自宅にエアコンが1台もない、または設置済みエアコンがすべて故障・製造から15年以上経過しているなどの状況にあることが条件で、生活保護受給世帯は除く（賃貸住宅の場合は家主の許可が必要）。,https://www.city.suginami.tokyo.jp/s042/news/25347.html
60,condition,区内に住所がある65歳以上で、介護保険の要支援・要介護認定を受けている方が対象。特別障害者に準ずる者は要介護3以上で障害高齢者の日常生活自立度がB以上または認知症高齢者の日常生活自立度が3以上、障害者に準ずる者は障害高齢者の日常生活自立度がA以上または認知症高齢者の日常生活自立度が2以上など、認定基準に該当する必要がある。,https://www.city.suginami.tokyo.jp/s040/1937.html
387,application,区民課区民係（区役所東棟1階）または区民事務所の窓口で届け出る（マイナポータルを利用したオンライン申請も可）。届出には窓口に来る方の本人確認書類、引越しをする方全員のマイナンバーカードなどが必要で、外国人の方は在留カードまたは特別永住者証明書が必要。,https://www.city.suginami.tokyo.jp/s018/10722.html
413,application,区内契約医療機関へ直接電話等で予約して受診する。受診票は区内契約医療機関の窓口にあり、受診時に現住所・年齢が確認できるもの（マイナンバーカード、運転免許証、資格確認書など）を持参する。所管は杉並保健所保健予防課。,https://www.city.suginami.tokyo.jp/s047/972.html
413,condition,杉並区民で検査日現在住民登録があり、風しんの罹患歴・抗体検査受診歴・ワクチン接種歴がない方のうち、19歳以上50歳未満の妊娠を希望する女性、その同居者（19歳以上）、または抗体価が低い妊婦の同居者（19歳以上）が対象。,https://www.city.suginami.tokyo.jp/s047/972.html
428,application,インターネット（電子フォーム）、郵送、窓口のいずれかで申請する。郵送・窓口の申請先は高齢者在宅支援課管理係（本庁西棟2階）または各ケア24（地域包括支援センター）。医師意見書（オージオグラム添付）・見積書・申請書が必要で、医師意見書の記入日から6カ月以内に提出する（購入後の申請は対象外）。,https://www.city.suginami.tokyo.jp/s039/1170.html
453,application,対象世帯に対して区から案内を郵送する（4月頃）。申請先の所管は都市整備部住宅課管理係（電話03-5307-0661）。,https://www.city.suginami.tokyo.jp/s093/19877.html
476,application,必要書類を準備のうえ、子ども家庭部保育課利用助成担当へ郵送または持参で提出する。主な必要書類は保育料負担軽減助成金交付申請書（兼口座振替依頼書）、保育所等を利用していない理由書、保育の必要性を確認する書類、特定子ども・子育て支援提供証明書・領収証など。,https://www.city.suginami.tokyo.jp/s058/shinseisho/19941.html
476,condition,区から「保育の必要性の認定」を受けて認証保育所・認可外保育施設に子どもを預けている方が対象。0～2歳児は住民税課税世帯と非課税世帯で助成内容が異なり、3～5歳児は非課税世帯が対象となる。,https://www.city.suginami.tokyo.jp/s058/shinseisho/19941.html
495,application,申請書は入園決定後に各園より直接配布され、入園した園を経由して子ども家庭部保育課子供園・幼稚園係へ提出する。全員が施設等利用給付認定申請書、教育・保育給付認定申請書、施設等利用費及び私立幼稚園等園児保護者助成金の申請書兼請求書兼口座振替依頼書、マイナンバー記入用紙を提出し、預かり保育補助を希望する場合は保育の必要性を確認する書類（就労証明書など）も必要。,https://www.city.suginami.tokyo.jp/s058/1070.html
564,application,電子申請（利用申請フォーム）、来所（地域子育て支援課子育て支援係〈区役所東棟3階〉または各子どもセンター）、郵送のいずれかで申請する。申請書、母子健康手帳の表紙のコピー（妊娠中の申請のみ）などが必要で、該当者は世帯全員分の住民税非課税証明書のコピーまたは生活保護受給証明書のコピーを添付する。,https://www.city.suginami.tokyo.jp/s054/1117.html
627,application,保健福祉部国保年金課国保給付係（電話03-5307-0642）へ申請する。資格情報がわかる書類（資格確認書、資格情報のお知らせなど）とマイナンバー関係書類が必要で、住民票上別世帯の方が手続きする場合は世帯主の委任状と代理人の本人確認書類も必要。,https://www.city.suginami.tokyo.jp/s035/17292.html
