program_id,fact_type,value,evidence_url
319,condition,世帯内の国民健康保険に加入している方が医療保険と介護保険の両方の給付を受け、合算対象期間（毎年8月から翌7月までの1年間）のそれぞれの自己負担額の合計が介護合算算定基準額を超えた場合に、その超えた額が支給されます。対象期間を通じて墨田区国民健康保険に加入していることが必要で、支給額が500円以下の場合は支給されません。,https://www.city.sumida.lg.jp/kurashi/kenkouhoken/kokuminkenkouhoken/kougaku/kougakukaigo.html
444,application,申請に必要な書類を揃えて、すみだ保健子育て総合センター健康推進課地域保健担当（ウィッグ等助成金担当）へ持参・郵送、またはオンライン（LoGoフォーム）で申請します。主な必要書類は、交付申請書・交付請求書、がん等の疾病治療を証明する書類または医師意見書、領収書原本です。,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/kenko_zukuri/gan/cancer-jyosei-05.html
467,application,オンライン申請（令和8年4月利用分から開始）、または郵送・持参で墨田区子ども施設課保育給付担当（区役所4階）へ申請します。主な必要書類は、施設等利用費請求書（償還払い用）と領収書兼特定子ども・子育て支援提供証明書です。,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/azukeru/ninkagai/ninkagai20210304.html
467,condition,0～2歳児クラスの非課税世帯および3～5歳児クラスの世帯が対象で、それぞれ施設等利用給付認定（2号・3号）等の認定が必要です。対象施設は、認可外保育施設の指導監督基準を満たす旨の証明書の交付を受け、無償化確認対象施設として確認を受けていることが必要です。,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/azukeru/ninkagai/ninkagai20210304.html
491,condition,園児及び保護者が墨田区に住民登録をし実際に生活していること、3～5歳児（満3歳児途中入園者を含む）の保護者であること、他の幼稚園・認可保育施設等に原則在籍していないこと、区市町村民税が確定していることなどが要件です。入園料・保育料を納入し、施設等利用給付認定または教育・保育給付認定を有していることも必要です。,https://www.city.sumida.lg.jp/kosodate_kyouiku/kyouiku/school/syuugaku_enjo/hozyokin/sirituyoutien_hozyo.html
537,condition,墨田区に住民登録がある産後1年未満の母子が対象です。宿泊型・日帰り型は原則産後4か月未満、外来型・訪問型は産後1年未満が対象で、医療行為を要する場合や感染症の疑いがある場合は利用できません。,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/oyako_kenko/sangoriyou/sangocarenyubocare.html
560,application,申請フォームからのオンライン申請、電話、または子育て支援総合センター（すみだ保健子育て総合センター4階）窓口で申請します。妊娠期の登録申請には親子（母子）健康手帳が必要で、利用決定通知書と利用券が届いた後、直接サポーター派遣事業者へサービス利用を申し込みます。,https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/sodan/kajiikuji.html
596,application,国保年金課こくほ資格係（区役所2階）または区内各出張所の窓口、もしくはLoGoフォームによる電子申請で手続きします。主な必要書類は、マイナンバーカードまたは資格確認書、雇用保険受給資格通知（全件版）または雇用保険受給資格者証です。,https://www.city.sumida.lg.jp/kurashi/kenkouhoken/kokuminkenkouhoken/genmen/kokuhohijihatsu.html
619,condition,同一の月（1日から末日まで）に保険適用の医療費の一部負担金が自己負担限度額を超えて支払ったときに、その超えた額が高額療養費として支給されます。自己負担限度額は所得区分に応じて異なり、診療月の翌月1日から2年を経過すると時効となります。,https://www.city.sumida.lg.jp/kurashi/kenkouhoken/kokuminkenkouhoken/kougaku/kougakuryouyou.html
686,application,高齢者福祉課支援係（電話03-5608-6168）へ申請書を提出して申請します。申請書はPDFまたはExcel形式で提供されています。,https://www.city.sumida.lg.jp/kenko_fukushi/koureisya_kaigohoken/hitorigurasi/syokuzi_delivery.html
686,condition,区内在住の65歳以上で、ひとりぐらし又は高齢者のみの世帯で見守りを必要とする方が対象です（家族と同居で日中等ひとりになる高齢者を含む）。自分で買物や調理等が身体的に困難な方（寝たきり状態、長時間の立位維持が困難、認知症により火の管理ができない等）が対象です。,https://www.city.sumida.lg.jp/kenko_fukushi/koureisya_kaigohoken/hitorigurasi/syokuzi_delivery.html
744,application,オンライン、安全支援課窓口（墨田区役所5階）への直接持参、または郵送で申請します。主な必要書類は、本人確認書類、領収書、工事内容の書類、設置後の写真、口座情報、賃貸の場合は所有者等の同意書などです。,https://www.city.sumida.lg.jp/anzen_anshin/kurasinoanzen_ansin/bouhantaisaku/sumaibohan-rinjihojo.html
744,condition,墨田区に住民登録があり、防犯物品を取り付ける区内の住宅に住んでいる方が対象で、1世帯につき1回限り（昨年度申請者は不可）です。令和7年3月21日以降に購入・設置した個人宅用防犯物品（防犯カメラ、録画機能付きドアホン、防犯用センサーライト、侵入警報装置等）が対象で、賃貸物件は所有者等の同意が必要です。,https://www.city.sumida.lg.jp/anzen_anshin/kurasinoanzen_ansin/bouhantaisaku/sumaibohan-rinjihojo.html
