program_id,fact_type,value,evidence_url
1043,condition,18歳到達後最初の3月31日までの児童（一定の障害がある場合は20歳未満）を監護するひとり親等が対象で、父母の離婚・死亡・重度障害・生死不明・遺棄・拘禁、婚外子、DV保護命令などのいずれかに該当することが要件。健康保険未加入、生活保護受給中、児童福祉施設入所中などは対象外。受給者本人および同居の扶養義務者の所得が一定額以上の場合は対象外となる所得制限がある。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004939/1004957/1004964.html
1043,application,申請は子ども政策課（市役所1階21番窓口）で行う。必要書類は戸籍謄本、医療保険証、課税（非課税）証明書、マイナンバー確認書類、本人確認書類。再交付申請および加入医療保険変更申請は「LoGoフォーム」による電子申請が可能。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004939/1004957/1004964.html
1044,application,申請窓口は子ども家庭部子ども政策課手当・医療費給付係で、受講申込前に事前相談が必要。対象講座の指定申請時と講座修了後の給付金支給申請時とで提出書類が異なる。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1022777.html
1045,condition,市内に住所を有するひとり親家庭の母または父で、20歳未満の児童を扶養し、児童扶養手当受給者と同等の所得水準にあり、修業年限6か月以上の養成機関で対象資格の取得が見込まれ、就業・育児と修業の両立が困難であることなどの要件をすべて満たす方が対象。過去にこの給付金や趣旨を同じくする他の給付を受給していないことも要件。対象資格は看護師、准看護師、介護福祉士、保育士、理学療法士等の国家資格やデジタル分野の民間資格など。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1004953.html
1045,application,申請窓口は子ども家庭部子ども政策課手当・医療費給付係で、電話またはオンライン予約フォームによる事前相談が必須。必要書類は修業予定の養成機関のパンフレット（紙ベース）など、詳細は事前相談時に説明される。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1004953.html
1046,condition,公正証書等作成経費の補助は、申請時に18歳未満の児童と立川市内に同居するひとり親家庭世帯で、養育費の取決めに係る債務名義を有し、対象児童を現に扶養し、過去に同内容の補助金交付を受けていない方が対象。養育費保証契約締結経費の補助は、上記に加え保証会社と1年以上の養育費保証契約を締結している方が対象。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1004955.html
1047,condition,20歳未満の子を扶養する母子家庭の母・父子家庭の父、または配偶者のない女性で親族を扶養している方等が対象で、都内に6か月以上居住していることが要件。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1004951.html
1047,application,申請窓口は子ども家庭部子ども政策課手当・医療費給付係で、必ず事前に相談が必要（オンライン予約システムあり）。必要書類は住民票、戸籍謄本、印鑑証明書、所得を明らかにする書類、資金に応じた添付書類など。,https://www.city.tachikawa.lg.jp/kosodate/m-kosodate/1004938/1004951.html
1048,condition,身体障害者手帳1・2級（内部障害は1～3級）、愛の手帳1・2度、または精神障害者保健福祉手帳1級の所持者で、都内に住所を有し医療保険に加入している方が対象。重度障害になった年齢が65歳以上の方、所得制限基準額を超える方、医療保険未加入の方は対象外。,https://www.city.tachikawa.lg.jp/kenko/shogai/1003564/1003641/1003647.html
1048,application,申請窓口は立川市障害福祉課。必要書類は身体障害者手帳・愛の手帳または精神障害者保健福祉手帳、医療保険情報が確認できるもの、立川市へ転入した方は課税（非課税）証明書が必要な場合がある。,https://www.city.tachikawa.lg.jp/kenko/shogai/1003564/1003641/1003647.html
1049,application,申請窓口は福祉部障害福祉課で、制度の利用には事前申請が必要。補装具の種目によっては東京都心身障害者福祉センターの判定が必要となる。,https://www.city.tachikawa.lg.jp/kenko/shogai/1003561/1003586/1003622.html
1052,condition,"立川市内に居住する心身障害者で、身体障害者手帳1～4級、愛の手帳1～4度、脳性麻痺、進行性筋萎縮症などの障害程度に該当する方が対象（等級に応じて月額6,000円または4,500円）。65歳以上で新たに障害程度に該当した方、施設入所者、心身障害者福祉手当（都制度）等の受給者は対象外。所得制限があり、20歳以上は本人所得、20歳未満は扶養義務者の所得により判定される。",https://www.city.tachikawa.lg.jp/kenko/shogai/1003564/1003642/1003654.html
1054,condition,身体障害者手帳1級から3級（3級は下肢・体幹・内部障害のいずれかが単独で3級の方）または愛の手帳1度から2度の方が対象。生計中心者の前年度市民税所得割額等による所得制限があり、介護保険施設や障害者支援施設、市外のグループホーム等に入所している方は対象外。,https://www.city.tachikawa.lg.jp/kenko/shogai/1003561/1003585/1003605.html
1054,application,申請窓口は障害福祉課（市役所1階1番窓口）。必要書類は身体障害者手帳または愛の手帳の原本、タクシー・リフトタクシー・ガソリン費助成券申請書で、代理申請の場合は代理人の身分確認書類、令和7年1月2日以降の転入者は前住所地での住民税所得割確認書類が必要。,https://www.city.tachikawa.lg.jp/kenko/shogai/1003561/1003585/1003605.html
