program_id,fact_type,value,evidence_url
116,application,窓口・郵送のほか、マイナポータルを利用した電子申請が可能。申請先は区民課国民年金係。必要書類は本人確認できるもの・基礎年金番号の分かるもので、出産前は出産予定日を明らかにできる書類（母子健康手帳等）、出産後は出生を確認できる書類（台東区で身分関係を確認できれば不要）。,https://www.city.taito.lg.jp/kurashi/zeikin/kokuminnenkin/houteisanzensango.html
116,condition,国民年金第1号被保険者（任意加入者を除く）で、出産日が平成31年2月1日以降、妊娠85日以上の分娩（死産・流産・人工妊娠中絶を含む）をした方が対象。免除期間は出産予定日又は出産日が属する月の前月から4か月間（多胎妊娠は前3か月から6か月間）。,https://www.city.taito.lg.jp/kurashi/zeikin/kokuminnenkin/houteisanzensango.html
128,condition,国内に居住する高校生年代（18歳に達する日以後の最初の3月31日）までの児童を養育している方が対象。令和6年10月分以降は所得制限なし。公務員は勤務先で申請し、父母等のうち所得が高い方が申請者となる。,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/teate/jidouteate.html
145,application,台東区役所区民課国民年金係または年金事務所（上野年金事務所）の窓口、日本年金機構東京広域事務センターへの郵送、マイナポータルによる電子申請で申請できる。必要書類は本人確認ができるもの・基礎年金番号が分かるもので、失業の場合は離職票等、学生納付特例の場合は学生証または在学証明書。,https://www.city.taito.lg.jp/kurashi/zeikin/kokuminnenkin/menjyo.html
145,condition,免除制度は本人・配偶者・世帯主それぞれの前年所得が一定基準以下または失業等の場合が対象。納付猶予制度は20歳から50歳未満で本人・配偶者の前年所得が一定基準以下等の場合、学生納付特例は20歳以上の大学・短大・専修学校等の学生で本人の前年所得が一定額以下の場合が対象。,https://www.city.taito.lg.jp/kurashi/zeikin/kokuminnenkin/menjyo.html
166,application,窓口・郵送・マイナポータルによる電子申請で申請できる。申請先は台東区役所子育て支援課給付担当。初回申請時は健康保険の加入状況が確認できるもの（資格確認書・資格情報のお知らせのコピー等）が必要。,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/iryohijosei/annai.html
166,condition,出生から18歳到達後の最初の3月31日までの子どもが対象で、台東区内に住んでいること、国民健康保険または社会保険に加入していることが要件。健康保険未加入者、生活保護受給中、児童福祉施設入所者は対象外。,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/iryohijosei/annai.html
167,condition,離婚・死亡・重度障害・生死不明・1年以上の遺棄・DV保護命令・1年以上の拘禁、婚姻によらないで生まれた子などのいずれかに該当する児童（18歳到達後最初の3月31日まで、中度以上の障害がある場合は20歳未満）を養育する父母又は養育者が対象。所得制限あり（扶養人数により異なる）。健康保険未加入、生活保護受給中、児童が児童福祉施設等に措置入所している場合は対象外。,https://www.city.taito.lg.jp/kosodatekyouiku/kosodate/mokutei/teate_josei/iryohijosei/hitorioya.html
199,application,受給者の介護保険被保険者証を持参し、高齢福祉課総合相談・給付担当または各地域包括支援センターの窓口で手続きする。申請日の翌月分から給付開始で、過去に遡っての申請はできない。,https://www.city.taito.lg.jp/kenkohukusi/korei/serviceannai/kyuuhujosei/kamiomutu.html
199,condition,台東区内に住所を有し常時紙おむつ等を使用している方で、介護保険で要支援1以上の認定を受けている方（65歳未満の要介護認定者を含む）又は65歳以上で病院に入院している方が対象。介護老人福祉施設・介護老人保健施設・介護医療院に入所している方、生活保護受給者は対象外。,https://www.city.taito.lg.jp/kenkohukusi/korei/serviceannai/kyuuhujosei/kamiomutu.html
