program_id,fact_type,value,evidence_url
958,condition,多摩市内に居住している18歳未満の児童で、身体障害者手帳（聴覚障害）交付の対象となる聴力ではなく、両耳の聴力レベルが概ね30デシベル以上であり、補聴器の装用により言語の習得等一定の効果が期待できると医師が判断する者が対象です。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/hatatsu/1003078.html
958,application,申請書（市指定の様式）、医師の意見書（市指定の様式）、補聴器の見積書を、市役所の障害福祉課相談支援担当の窓口へ提出します。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/hatatsu/1003078.html
959,application,身体障害者手帳・愛の手帳（お持ちの方のみ）、印鑑、マイナンバーに関するものを持参のうえ、障害福祉課の窓口で申請します。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shoigai/teate/1003103.html
961,condition,令和8年2月1日において多摩市の住民基本台帳に登録されている方が対象です（所得制限の記載はありません）。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/kyufu/1019569.html
961,application,原則として手続き不要でJCBギフトカードを受領できます。送付先の変更を希望する場合のみ、オンラインフォームでの申請が必要です。担当は総務契約課です。,https://www.city.tama.lg.jp/kenkofukushi/1008237/shien/kyufu/1019569.html
1818,application,案内通知が届いた対象者は、実施医療機関に直接予約し、接種当日の持ち物（案内通知、生年月日・多摩市の住所が確認できる公的書類など）を持参のうえ医療機関で接種を受けます。受付・問い合わせは多摩市立健康センター「帯状疱疹受付担当」です。,https://www.city.tama.lg.jp/kenkofukushi/1008237/kenshin/chusha/1011813.html
1858,application,電子申請（マイナポータル）、郵送（府中年金事務所へ）、または市役所保険年金課・府中年金事務所の窓口で申請します。免除・納付猶予申請書のほか、失業等の場合は離職票等の写し、本人確認書類などが必要です。,https://www.city.tama.lg.jp/kurashi/nenkin/hokenryo/1001964.html
1916,condition,多摩市に住民票があり、出産後1年未満の赤ちゃんとお母さんで、ケアを希望する方が対象です。流産・死産を経験した方も対象に含まれます。,https://www.city.tama.lg.jp/kosodate/1008018/1008020/1010679.html
1916,application,オンラインの専用フォーム「多摩市産後ケア事業利用申請」から電子申請します。出産前でも申請でき、問い合わせ先はこども家庭センターにじたま母子保健担当です。,https://www.city.tama.lg.jp/kosodate/1008018/1008020/1010679.html
2096,condition,多摩市で養育している1歳のお子様が対象です。転入された方は早めに連絡するよう案内されています。,https://www.city.tama.lg.jp/kosodate/1008018/1008022/1003416.html
