page,municipality,program,action,old_url,new_url,confirmed_detail
area/tokyo/shinagawa/seido/2484,品川区,高齢者地域配食サービス,delete_or_mark_discontinued,https://www.city.shinagawa.tokyo.jp/ct/other000068500/haisyoku.pdf,,現存せず(404)。区の実施要綱にも配食/食事サービスなし。後継は高齢者見守りネットワーク。制度削除または「廃止」表記推奨
area/tokyo/hachijo/seido/2571,八丈町,敬老祝い金（祝い金支給事業）,replace_url_and_add_amount,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/koreikaigoplan9.pdf,https://www.town.hachijo.tokyo.jp/chousei/kanshiryou/h-kouhofukukei9/,90歳に2万円・100歳に10万円+賞状。第9期計画p21
area/tokyo/hachijo/seido/2539,八丈町,高齢者緊急通報システム設置事業,replace_url,https://www.town.hachijo.tokyo.jp/kakuka/kenkou/koreikaigoplan9.pdf,https://www.town.hachijo.tokyo.jp/chousei/kanshiryou/h-kouhofukukei9/,在宅の高齢単身/高齢者のみ世帯。民間方式・費用町負担。R6.1で46世帯設置。第9期計画p22
area/tokyo/hachijo/seido/2944,八丈町,保育料の無償化,replace_url,https://www.town.hachijo.tokyo.jp/nursery/wp-content/uploads/2025/10/838191cab6192325e08690d9cf7da9d0-1.pdf,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/kosodate/chouritsu-hoikuen/hoikuen-shiori/,全園児無償(3-5歳=国/第一子0-2歳=町新規)。延長保育1時間350円は対象外。R8保育園のしおりp17
area/tokyo/hachijo/seido/1720,八丈町,妊婦のための支援給付,replace_url,https://www.town.hachijo.tokyo.jp/publication/kosodate.pdf,https://www.town.hachijo.tokyo.jp/kosodate-kyouiku/ninshin-shussan-kosodate/ninshin-shussan/ikujishien/,国制度。妊娠届出時5万+出生児1人5万相当。町専用ページなしのため出産・育児支援ページを暫定出典に
area/tokyo/okutama/seido/2569,奥多摩町,敬老祝い金（贈呈）,needs_verification_or_delete,https://www.town.okutama.tokyo.jp/material/files/group/7/koureikeikaku.pdf,,公式に敬老祝金/長寿祝金ページ・条例を特定できず。高齢者福祉計画にも記載なし。福祉保健課(0428-83-2777)要確認。取れなければ削除推奨
area/tokyo/ota/seido/2481,大田区,地域のボランティアの食事サービス,replace_url_needs_verification,https://www.city.ota.tokyo.jp/seikatsu/fukushi/kourei/kurashi/boranteia.html,,実ページ404(索引キャッシュのみ)。親ページ(高齢者サービスガイド)からも現行リンク特定できず。検索キャッシュでは1食400〜700円・対象は区内65歳以上等・問合せは区社協ボランティア区民活動センター(03-3736-5555)。生きた出典URL要特定。noindex据え置き
area/tokyo/ome/seido/2107,青梅市,結婚新生活スタートアップ応援事業費補助金,replace_url_needs_verification,https://www.city.ome.tokyo.jp/soshiki/76/66364.html,,実ページ404。既存DBに金額・条件は保持済み。現行の公式URL要特定(シティプロモーション課)。noindex据え置き
area/tokyo/ome/seido/2501,青梅市,青梅市配食サービス,replace_url_needs_verification,https://www.city.ome.tokyo.jp/soshiki/30/98.html,,実ページ404。高齢者支援課(soshiki/30)配下の現行ページ要特定。noindex据え置き
area/tokyo/kita/seido/2546,北区,長寿のお祝い,replace_url_needs_verification,https://www.city.kita.tokyo.jp/choju/faq/kenko/koresha/kor004.html,,旧FAQページ404。city.kita.lg.jpへ移設済みだが現行URL未特定。長寿支援課要確認。noindex据え置き
area/tokyo/kita/seido/2075,北区,北区子育て応援団事業（子育て福袋・輝きバースデー）,source_mismatch,https://www.city.kita.tokyo.jp/k-mirai/kosodate/shien/kosodate/fukubukuro.html,https://www.city.kita.lg.jp/children-edu/childcare/1002833/1002835/1002837.html,移設先が別制度(子育てガイドブック・親子バッグ配布)で内容不一致。福袋・輝きバースデーの現行ページ要特定。noindex据え置き
area/tokyo/kita/seido/2968,北区,親元近居助成,duplicate_of_2224,https://www.city.kita.tokyo.jp/jutaku/jutaku/jutaku/jutaku/shien/oyamoto-020401.html,https://www.city.kita.lg.jp/living/housing/1009223/1009225.html,移設先が親子住まいる応援事業(2224)と同一ページ。統合済みのため重複。dedup候補
