page,municipality,seido_id,program,title,amount_text
area/tokyo/katsushika/seido/160/index.html,katsushika,160,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/katsushika/seido/191/index.html,katsushika,191,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/bunkyo/seido/168/index.html,bunkyo,168,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/bunkyo/seido/170/index.html,bunkyo,170,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/higashikurume/seido/1247/index.html,higashikurume,1247,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/ome/seido/1408/index.html,ome,1408,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/okutama/seido/1440/index.html,okutama,1440,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/akiruno/seido/1411/index.html,akiruno,1411,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/kodaira/seido/1105/index.html,kodaira,1105,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/kodaira/seido/1116/index.html,kodaira,1116,障害児福祉手当,障害児福祉手当,"月16,100円〈令和7年度・毎年度改定〉。20歳未満・常時介護・所得制限あり"
area/tokyo/shinjuku/seido/82/index.html,shinjuku,82,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
area/tokyo/akishima/seido/1062/index.html,akishima,1062,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/shibuya/seido/6/index.html,shibuya,6,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
area/tokyo/nakano/seido/163/index.html,nakano,163,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/chiyoda/seido/151/index.html,chiyoda,151,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
area/tokyo/mitaka/seido/989/index.html,mitaka,989,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/musashino/seido/1085/index.html,musashino,1085,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/kita/seido/165/index.html,kita,165,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/edogawa/seido/139/index.html,edogawa,139,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
area/tokyo/mizuho/seido/1421/index.html,mizuho,1421,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/mizuho/seido/1423/index.html,mizuho,1423,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/chofu/seido/1386/index.html,chofu,1386,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/fussa/seido/1270/index.html,fussa,1270,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/fussa/seido/1281/index.html,fussa,1281,障害児福祉手当,障害児福祉手当,"月16,100円〈令和7年度・毎年度改定〉。20歳未満・常時介護・所得制限あり"
area/tokyo/fussa/seido/1278/index.html,fussa,1278,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/hamura/seido/1125/index.html,hamura,1125,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/sumida/seido/158/index.html,sumida,158,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/hino/seido/1020/index.html,hino,1020,児童扶養手当,児童扶養手当,"全部支給 本体 月48,040円（一部支給 48,030〜11,340円）＋第2子以降 各 月11,340〜5,680円〈令和7年度・毎年度改定〉。所得により決定"
area/tokyo/higashiyamato/seido/1232/index.html,higashiyamato,1232,障害児福祉手当,心身障害児福祉手当,"月16,100円〈令和7年度・毎年度改定〉。20歳未満・常時介護・所得制限あり"
area/tokyo/toshima/seido/131/index.html,toshima,131,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
area/tokyo/nishitokyo/seido/1296/index.html,nishitokyo,1296,特別児童扶養手当,特別児童扶養手当,"1級 月56,800円／2級 月37,830円〈令和7年度・毎年度改定〉。所得制限あり"
area/tokyo/inagi/seido/1188/index.html,inagi,1188,障害児福祉手当,障害児福祉手当,"月16,100円〈令和7年度・毎年度改定〉。20歳未満・常時介護・所得制限あり"
area/tokyo/nerima/seido/39/index.html,nerima,39,妊婦のための支援給付,妊婦のための支援給付（ねりママ出産・子育て応援金）,妊娠届出時 5万円相当＋出生児1人あたり 5万円相当（多胎は人数分）。国制度・伴走型相談支援と一体
area/tokyo/nerima/seido/42/index.html,nerima,42,児童手当,児童手当,"0〜3歳未満 月15,000円／3歳〜18歳到達年度末 月10,000円（第3子以降 月30,000円）。所得制限なし〈2024.10〜〉"
